QuestNumber,QuestName,TalkerName,Scripts,EventID,JumpNumber
0,이 세계에서의 첫걸음,나,여긴 어디지? 나는 어제 밤에 분명 내 방 침대에서 꿀 같은 잠에 들었는데…,,
1,,시스템,뭉비타이 월드에 오신 걸 환영합니다,,
2,,나,응? 누구야?!,,
3,,시스템,"왼쪽* 오른쪽 엄지 버튼을 통해 앞* 뒤* 좌* 우 이동이 가능합니다.",,
,,"""",바닥에 보이는 보라색 꽃을 따라 이동해보세요.,,
4,,나,뭐지..? 모든게 낯설고 어색해. 집에 가고 싶어!,,
5,,연두,안녕* 이방인! 나는 연두라고 해.,,
,,"""",모든 것이 새롭고 낯설지?,,
,,"""",이상하게 이 장소에 매년 똑같은 날* 똑같은 시간에 한 명의 이방인이 나타나더라고!,,
6,,나,그 사람들은 모두 어떻게 됐어?,,
7,,연두,나도 자세한 건 잘 몰라.,,
,,"""",나의 역할은 이방인들이 이 세계에 적응할 수 있도록 안내하는 것이거든!,,
,,"""",어때* 피할 수 없으면 즐기라는 말도 있잖아. 나랑 같이 가볼래?,,
8,,나,사기꾼 같지는 않은데… 지금 내가 마땅히 할 수 있는 것도 없어보이고…',,
,,나,그래. 어디로 가면 되는데?,,
9,,연두,나를 따라와!,,
