ID,Name,Modelinfo,Type,HP,RangeRec,Respawn,Rarity,Description,GetIt,Note,Image,English,
1001,카카오,TX_Food_Kakao,0,1,5,30,2,카카오 나무의 열매 초콜릿의 주재료,봄,사다리,23,Cacao,
1002,야자 열매,TX_Food_Coconut,0,1,5,30,2,단단해서 그냥은 먹을 수 없다,여름,사다리,24,Palm Fruit,
1003,은행,TX_Food_Ginkgo,0,1,5,30,2,많이 먹으면 배탈날 수 있으니 조금만 먹어요,가을,사다리,25,Ginkgo,
1004,양배추,TX_Food_Cabbage,1,2,5,30,2,양배추는 서양 배추라는 의미로 붙인 이름이래요,봄,당기기,26,Cabbage,
1005,감자,TX_Food_Potato,1,2,5,30,2,감자 싹에는 독이 있으니 도려내고 드세요,여름,당기기,27,Potato,
1006,고구마,TX_Food_Sweet_Potato,1,2,5,30,2,으으 사이다가 필요해,가을,당기기,28,Sweet Potato,
1007,무,TX_Food_Radish,1,2,5,30,2,엿을 만들 때 엿기름 대신 무즙을 써도 됩니다,겨울,당기기,29,Radish,
1008,송이 버섯,TX_Food_Matsutake,0,1,5,30,2,소나무에서만 자라는 독특한 버섯,봄,고지대,30,Matsutake,송이 불고기 추가 제작 불가 (미완성 불도장 제작이 가능해야 함)
1009,땅콩,TX_Food_Peantu,0,1,5,0,2,경상도에선 이걸 삶아먹는대요,가을,고지대,31,Peanut,2개
1010,죽순,TX_Food_Bamboo_Shoots,0,1,5,30,2,독이 있으니 꼭 익혀드세요,겨울,고지대,32,Bamboo Shoots,
1011,유자,TX_Food_Citron,1,1,5,0,3,방향제 대신으로도 많이 쓰여요,봄여름,설치 개수 적음,33,Citron,1개
1012,대추,TX_Food_Jujube,1,1,5,30,3,어른 입맛이 되기 위한 첫 걸음,가을겨울,설치 개수 적음,34,Jujube,
1013,꿀,TX_Food_Honey,1,1,5,30,3,꿀벌이 가져다준 천연감미료 아기가 먹으면 안돼요,전지역,설치 개수 적음,35,Honey,대추차 추가 제작 가능성 떄문에 유자차 추가 제작을 막는 형식으로 진행
1014,미완성 불도장,TX_Food_incomplete_Buddha_Jumps_Over_the_Wall,4,0,0,1,0,대추만 있으면 완성될 것 같은데,제작대,1008_1010,36,Buddha Jumps,영구 효과가 없어 추가 제작 가능
1015,땅콩버터,TX_Food_Peantut_Butter,4,0,0,1,0,마라탕에 들어가는 땅콩소스가 바로 이것,제작대,1009_1009,37,Peantut Butter,땅콩 입수량 조절로 인해 제작 불가로 처리하지 않아도 됨
1016,토마토 소스,TX_Food_Tomato_Sauce,4,0,0,1,0,고기가 듬뿍 들어간 토마토 소스,제작대,1018_2004,38,Tomato Sauce,추가 제작 불가(재료 아이템의 활용처 많음)
1017,반죽,TX_Food_Dough,4,0,0,1,0,뭐든지 만들 수 있는 반죽,제작대,2002_1020,39,Dough,추가 제작 불가(재료 아이템의 활용처 많음)
1018,고기,TX_Food_Meat,3,0,5,30,2,기분이 저기압일 땐 고기 앞으로,수렵터,수렵,40,Meat,해당없음
1019,생선,TX_Food_Fish,2,0,5,30,2,고기만 먹지 말고 생선도 챙겨 먹자,낚시터,낚시,41,Fish,해당없음
1020,달걀,TX_Food_Egg,0,0,5,30,2,고기만 먹지 말고 달걀도 챙겨 먹자,수렵터,닭 옮기기,42,Egg,무한정 획득 가능하나 재료로 사용되는 반죽이 1회 제작
1030,꽃샘 마을 증표,TX_Medal_Spring,0,1,5,0,0,꽃샘 마을 친구들의 기쁨이 담긴 증표,봄,증표,63,Medal Spring,
1031,바다 마을 증표,TX_Medal_Summer,0,1,5,0,0,바다 마을 친구들의 우정이 담긴 증표,여름,증표,63,Medal Summer,
1032,단풍 마을 증표,TX_Medal_Autumn,0,1,5,0,0,단풍 마을 친구들의 믿음이 담긴 증표,가을,증표,63,Medal Autumn,
1033,눈꽃 마을 증표,TX_Medal_Winter,0,1,5,0,0,겨울 마을 친구들의 감사가 담긴 증표,겨울,증표,63,"Medal Winter	",
